1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 1.00 0.99 0.98 1.00 0.97 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 1.00 0.99 0.99 0.98 0.98 0.99 1.00 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.99 0.99 0.99 0.98 0.99 0.99 0.99 0.99 0.98 0.97 0.97 0.99 0.98 0.98 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 1.00 1.00 0.96 1.00 0.98 0.98 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.97 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.98 0.98 0.99 0.99 0.99 0.99 0.99 0.99 1.00 0.99 0.99 0.99 0.99 0.98 0.97 0.97 0.99 0.99 0.98 0.98 0.98 0.98 0.98 0.99 0.99 0.98 0.98 0.98 0.98 0.99 0.99 0.99 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.98 1.00 0.97 0.98 1.00 1.00 0.97 0.98 0.99 1.00 1.00 0.98 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 1.00 0.99 0.98 0.97 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 1.00 0.99 0.99 0.98 0.98 0.99 0.99 0.98 0.98 0.98 0.99 0.98 0.98 0.98 0.99 0.99 0.99 0.99 1.00 0.99 0.99 0.99 0.99 0.98 0.98 0.99 0.98 0.98 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.97 0.96 1.00 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 0.97 0.99 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 1.00 0.99 0.99 0.99 0.99 0.99 1.00 1.00 0.99 0.99 1.00 0.99 0.98 0.97 0.99 1.00 1.00 0.99 0.99 0.99 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.99 1.00 0.99 1.00 1.00 1.00 0.99 0.95 0.98 1.00 1.00 1.00 1.00 1.00 0.99 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.96 1.00 1.00 1.00 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.98 0.98 0.99 0.99 0.99 0.98 0.99 0.99 0.98 0.98 0.98 0.98 0.98 0.99 0.99 0.99 0.99 0.98 0.99 0.99 0.98 0.98 0.99 0.99 0.98 0.99 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 1.00 1.00 0.98 0.98 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 1.00 0.97 0.98 1.00 1.00 1.00 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 1.00 0.99 0.99 0.99 1.00 0.99 0.98 0.98 0.98 0.98 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.99 0.99 0.99 0.99 0.99 0.99 1.00 1.00 0.99 0.99 1.00 1.00 0.99 0.99 0.99 0.99 1.00 0.99 1.00 1.00 1.00 0.95 0.97 1.00 1.00 0.98 0.98 0.96 1.00 0.98 0.99 1.00 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 0.96 0.94 0.94 0.99 0.96 0.97 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.96 1.00 1.00 0.93 1.00 0.97 0.98 0.97 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.98 0.99 0.98 1.00 1.00 0.97 0.96 1.00 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.99 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.99 0.99 0.98 0.99 0.99 0.99 0.98 0.98 0.97 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.99 0.98 0.99 0.99 0.99 0.98 0.99 0.99 0.99 0.99 0.98 0.99 0.99 0.98 0.96 0.97 1.00 0.99 0.98 1.00 1.00 1.00 0.99 0.98 1.00 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.94 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 0.98 0.99 0.99 0.99 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.96 1.00 1.00 1.00 0.99 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 1.00 0.99 0.96 0.97 0.95 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.98 0.98 0.98 0.99 0.99 1.00 0.99 0.99 0.99 0.99 1.00 1.00 1.00 0.99 0.99 1.00 1.00 0.99 0.99 0.99 1.00 0.99 0.99 0.98 0.98 0.99 0.99 1.00 0.99 0.99 0.99 0.99 0.99 1.00 0.99 1.00 1.00 1.00 1.00 1.00 0.99 0.99 1.00 1.00 1.00 0.98 1.00 1.00 0.95 1.00 1.00 0.98 0.97 0.98 1.00 0.98 1.00 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.89 0.71 0.70 0.68 0.71 0.68 0.68 0.65 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.70 0.70 0.70 0.70 0.70 0.70 0.69 0.69 0.69 0.69 0.69 0.70 0.70 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.72 0.68 0.71 0.81 0.69 0.71 0.70 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.71 0.68 0.72 0.69 0.70 0.77 0.74 0.67 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.70 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.69 0.70 0.68 0.69 0.73 0.70 0.69 0.75 0.90 1.00 0.98 0.99 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.52 0.00 0.09 0.08 0.07 0.08 0.11 0.10 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.08 0.09 0.09 0.09 0.08 0.08 0.08 0.08 0.09 0.09 0.09 0.09 0.09 0.09 0.08 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.08 0.08 0.09 0.09 0.09 0.09 0.08 0.08 0.09 0.09 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.07 0.11 0.06 0.00 0.09 0.07 0.06 0.09 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.09 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.09 0.09 0.06 0.13 0.04 0.00 0.13 0.05 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.09 0.09 0.08 0.08 0.09 0.09 0.09 0.09 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.09 0.09 0.09 0.09 0.09 0.08 0.08 0.08 0.07 0.05 0.11 0.13 0.05 0.05 0.11 0.09 0.78 1.00 0.98 0.98 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.74 0.13 0.78 1.00 0.97 0.96 0.96 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.96 0.96 0.97 0.96 0.96 0.96 0.97 0.97 0.97 0.97 0.96 0.96 0.97 0.96 0.96 0.97 0.97 0.97 0.97 0.96 0.97 0.97 0.97 0.96 0.95 0.96 0.97 0.97 0.97 0.96 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.94 1.00 0.76 0.35 0.98 0.97 0.96 0.99 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.96 1.00 0.93 1.00 0.69 0.44 0.87 1.00 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.96 0.97 0.97 0.96 0.96 0.96 0.97 0.97 0.97 0.96 0.96 0.96 0.97 0.96 0.96 0.96 0.97 0.97 0.97 0.98 0.98 0.98 0.98 0.98 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.96 0.96 0.96 0.96 0.96 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 0.97 1.00 0.94 0.99 0.98 0.95 1.00 0.76 0.11 0.70 1.00 0.98 0.97 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.75 0.11 0.81 1.00 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 0.95 0.97 0.98 0.99 0.97 0.98 0.99 0.98 0.98 0.96 1.00 0.99 0.99 0.98 0.99 0.99 0.99 0.98 0.95 0.98 0.99 0.98 0.98 0.99 0.99 0.95 0.98 0.99 0.97 0.99 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 1.00 0.80 0.31 1.00 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 0.98 1.00 0.99 0.97 1.00 1.00 1.00 1.00 1.00 0.94 0.98 0.99 0.99 1.00 0.96 1.00 1.00 0.98 1.00 1.00 0.98 1.00 1.00 1.00 0.97 0.98 1.00 1.00 1.00 1.00 1.00 0.98 1.00 1.00 0.95 1.00 1.00 0.99 1.00 1.00 0.99 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.73 0.39 0.92 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.94 0.99 0.98 0.97 0.97 0.97 0.96 1.00 0.99 0.99 0.98 0.98 0.99 0.97 0.99 0.97 0.98 0.99 0.98 0.99 0.96 0.99 0.97 0.99 1.00 0.97 0.99 0.98 0.98 0.99 0.94 0.99 0.99 1.00 0.97 0.99 0.99 0.97 0.99 1.00 0.99 0.99 0.99 1.00 1.00 1.00 0.99 0.99 1.00 1.00 1.00 1.00 0.99 1.00 0.82 0.11 0.71 1.00 0.98 0.99 
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.75 0.11 0.81 1.00 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.99 0.96 0.97 0.94 0.95 0.94 0.99 0.98 1.00 0.98 0.93 0.92 0.99 0.95 0.98 0.99 0.99 0.99 0.93 0.93 0.96 0.97 0.99 0.98 0.97 0.95 1.00 0.98 0.98 0.94 0.96 0.97 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 1.00 0.80 0.31 1.00 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.98 1.00 1.00 1.00 0.98 1.00 0.99 0.84 0.98 1.00 0.96 1.00 1.00 0.99 0.97 0.96 1.00 0.98 0.98 0.98 1.00 0.99 1.00 0.98 0.95 1.00 0.98 1.00 1.00 0.96 1.00 0.99 0.96 1.00 0.92 1.00 1.00 0.95 0.99 1.00 0.95 0.96 1.00 0.96 1.00 1.00 0.95 0.98 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.99 0.73 0.39 0.92 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 0.99 0.99 0.98 0.96 0.96 0.96 0.96 0.96 0.99 0.92 0.98 1.00 0.98 0.95 0.91 0.98 0.95 0.99 0.95 0.85 0.98 0.93 0.94 0.99 0.96 0.99 1.00 0.97 0.98 0.98 0.94 0.96 0.99 0.95 0.95 0.99 0.99 0.99 0.99 0.99 1.00 0.97 1.00 0.99 0.99 1.00 1.00 1.00 0.99 0.99 1.00 1.00 1.00 1.00 0.99 1.00 0.82 0.11 0.71 1.00 0.98 0.99 
